"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Aprendendo o verbo GET","consultas no portal VR","0","0","1","0","0"
"","Aprendendo o verbo GET","consultas negativa no portal VR","1","0","0","0","0"
